Year,Faculty,Count,latitude,longitude,Floor,Building (THA),Building(ENG),Note
2018.0,Faculty of Pharmaceutical Science,52,13.7431730299722,100.531281939118,,,,PGVJ+7G7
2019.0,Faculty of Science,308,13.7373189810975,100.53086597618,,,,
2018.0,Faculty of Arts,1,13.7393053165915,100.533923044103,,อาคารมหาจักรีสิรินธร***,,
2020.0,The Halal Science Center,1,13.7427705669344,100.52679078373,,อาคารวิจัยจุฬาลงกรณ์มหาวิทยาลัย,,
2023.0,Faculty of Education,6,13.7372942413163,100.528436102158,,อาคารมหาธีรราชนุสรณ์,,
2021.0,College of Public Health Sciences,29,13.742684005688,100.531512089508,"10,11,12",,Sabbasastravicaya building,
2021.0,Faculty of Engineering,186,13.7367819358887,100.533139461155,,,,
2022.0,Energy Research Institute,8,13.7427886282919,100.532583269484,12,อาคารสถาบัน 3,Institute Building III,
2020.0,Faculty of Sports Science,1,13.7434403525799,100.527069815715,,,,
2023.0,Social Research Institute,2,13.7342123106929,100.532668397386,"4, 5",อาคารเกษม อุทยานิน,,
2022.0,Faculty of Dentistry,82,13.7432910733746,100.534803502036,,,,
2018.0,The Halal Science Center,1,13.7427705669344,100.52679078373,,อาคารวิจัยจุฬาลงกรณ์มหาวิทยาลัย,,
2020.0,Sasin Graduate Institute of Business Administration,5,13.742695460277,100.527414796132,,อาคารศศปาฐศาลา,,
2021.0,Graduate School,92,13.7425637741225,100.528042072994,,,,
2018.0,Social Research Institute,1,13.7342123106929,100.532668397386,"4, 5",อาคารเกษม อุทยานิน,,
2023.0,Faculty of Law,1,13.7352584268874,100.528755839528,,,,
2019.0,Faculty of Nursing,5,13.7441138803158,100.528537420397,11,อาคารบรมราชชนนีศรีศตพรรษ,,
2019.0,Faculty of Pharmaceutical Science,63,13.7431730299722,100.531281939118,,,,PGVJ+7G7
2019.0,College of Population Studies,2,13.7343796080462,100.53262681302,,,,PGMM+Q32
2021.0,Faculty of Architecture,2,13.7397366012632,100.530828865234,,,,
